"","Site","Lat","Long"
"112","21VASWCB-1ASAD001.76",38.7301,-77.3026
"113","21VASWCB-4AWPP002.53",37.0606,-79.0067
"114","21VASWCB-9-MLC001.53",37.058,-80.5037
"115","21VASWCB-1BNFS000.57",38.9496,-78.1982
"116","21VASWCB-7-DRN010.48",37.6336,-76.6958
"117","21VASWCB-2-FLA001.95",37.4036,-77.8958
"118","21VASWCB-5ABLW040.22",36.8683,-76.8356
"119","21VASWCB-2-APP122.15",37.3369,-78.5197
"120","21VASWCB-4ABAU000.94",36.7001,-79.9034
"121","21VASWCB-4ABSF001.15",37.0131,-80.0344
"122","21VASWCB-6CGRC000.68",36.7428,-81.6772
"123","21VASWCB-2-JMS115.29",37.5494,-77.5119
"124","21VASWCB-2-JKS023.61",37.7886,-80.0008
"125","21VASWCB-2-FLA013.95",37.3806,-78.0638
"126","21VASWCB-4ALYT003.77",36.7317,-78.3233
"127","21VASWCB-1ALIE000.52",38.5279,-77.2961
"128","21VASWCB-1BLGC000.96",38.3775,-78.9814
"129","21VASWCB-1BSSF066.98",38.5427,-78.5839
"130","21VASWCB-5AMSW006.77",37.0304,-76.8285
"131","21VASWCB-2-LIA000.50",37.3288,-77.5162
"132","21VASWCB-1BCUB000.40",38.5542,-78.5986
"133","21VASWCB-4ASRE033.19",36.7011,-79.9331
"134","21VASWCB-2-BKL000.15",37.6895,-79.8175
"135","21VASWCB-9-TOM012.78",37.2579,-80.4421
"136","21VASWCB-1BHKS000.96",38.7084,-78.4561
"137","21VASWCB-1BNAK001.24",38.4617,-78.6053
"138","21VASWCB-2-GIM002.52",37.8728,-79.4992
"139","21VASWCB-1BBON000.60",38.4336,-78.6358
"140","21VASWCB-1BNFS043.06",38.8776,-78.4678
"141","21VASWCB-5BXCK000.00",36.5928,-76.385
"142","21VASWCB-5AXAW000.19",37.0425,-77.1011
"143","21VASWCB-1BBMR000.20",38.9919,-78.0881
"144","21VASWCB-1BSMT004.60",38.6939,-78.6433
"145","21VASWCB-5ATRR002.50",36.5761,-77.1858
"146","21VASWCB-7-MCR002.00",37.215,-75.9533
"147","21VASWCB-4AHCK000.51",37.1186,-78.9678
"148","21VASWCB-4AROA018.04",36.6032,-78.2976
"149","21VASWCB-5ABLW058.22",37.0253,-76.8753
"150","21VASWCB-5ANMR013.95",36.9372,-78.3217
"151","21VASWCB-2-PCT002.46",37.3807,-77.4225
